Date,Close
2020-12-02,14120.719
2020-12-03,14240.4
2020-12-04,14251.326
2020-12-07,14148.767
2020-12-08,14279.502
2020-12-09,14112.463
2020-12-10,14188.421
2020-12-11,14307.236
2020-12-14,14217.179
2020-12-15,14241.37
2020-12-16,14344.571
2020-12-17,14233.347
2020-12-18,14160.982
2020-12-21,14206.585
2020-12-22,14304.618
2020-12-23,14225.191
2020-12-24,14151.194
2020-12-25,14221.028
2020-12-28,14282.77
2020-12-29,14230.49
2020-12-30,14167.857
2020-12-31,14261.216
2021-01-01,14212.332
2021-01-04,14268.457
2021-01-05,14153.938
2021-01-06,14183.983
2021-01-07,14272.191
2021-01-08,14300.306
2021-01-11,14316.397
2021-01-12,14268.559
